# composition,0.21NaCl-0.38MgCl2-0.41KCl
# source,Numbers, 2026
# temperature_K,680
# raw_file,0.21NaCl-0.41KCl-0.38MgCl2_Numbers_2026_680.0_AP.csv
# savgol,False
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K,K-Mg,K-Na,Mg-Cl,Mg-Mg,Mg-Na,Na-Cl,Na-Na
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005239494747373687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010478989494747374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01571848424212106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02095797898949475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.026197473736868437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03143696848424212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03667646323161581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0419159579789895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047155452726363185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05239494747373687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05763444222111056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06287393696848424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06811343171585793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07335292646323162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0785924212106053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083831915957979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08907141070535268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09431090545272637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
