# composition,1.0MgCl2
# source,Numbers, 2026
# temperature_K,1000
# raw_file,1.00MgCl2_Numbers_2026_1000.0_AP.csv
# savgol,False
# grid_points,2000
r (A),Cl-Cl,Mg-Cl,Mg-Mg
0.0,0.0,0.0,0.0
0.005239494747373687,0.0,0.0,0.0
0.010478989494747374,0.0,0.0,0.0
0.01571848424212106,0.0,0.0,0.0
0.02095797898949475,0.0,0.0,0.0
0.026197473736868437,0.0,0.0,0.0
0.03143696848424212,0.0,0.0,0.0
0.03667646323161581,0.0,0.0,0.0
0.0419159579789895,0.0,0.0,0.0
0.047155452726363185,0.0,0.0,0.0
0.05239494747373687,0.0,0.0,0.0
0.05763444222111056,0.0,0.0,0.0
0.06287393696848424,0.0,0.0,0.0
0.06811343171585793,0.0,0.0,0.0
0.07335292646323162,0.0,0.0,0.0
0.0785924212106053,0.0,0.0,0.0
0.083831915957979,0.0,0.0,0.0
0.08907141070535268,0.0,0.0,0.0
0.09431090545272637,0.0,0.0,0.0
0.09955040020010006,0.0,0.0,0.0
0.10478989494747375,0.0,0.0,0.0
0.11002938969484743,0.0,0.0,0.0
0.11526888444222112,0.0,0.0,0.0
0.12050837918959481,0.0,0.0,0.0
0.12574787393696849,0.0,0.0,0.0
0.1309873686843422,0.0,0.0,0.0
0.13622686343171586,0.0,0.0,0.0
0.14146635817908956,0.0,0.0,0.0
0.14670585292646324,0.0,0.0,0.0
0.15194534767383694,0.0,0.0,0.0
0.1571848424212106,0.0,0.0,0.0
0.16242433716858432,0.0,0.0,0.0
0.167663831915958,0.0,0.0,0.0
0.17290332666333166,0.0,0.0,0.0
0.17814282141070537,0.0,0.0,0.0
0.18338231615807904,0.0,0.0,0.0
0.18862181090545274,0.0,0.0,0.0
0.19386130565282642,0.0,0.0,0.0
0.19910080040020012,0.0,0.0,0.0
0.2043402951475738,0.0,0.0,0.0
0.2095797898949475,0.0,0.0,0.0
0.21481928464232117,0.0,0.0,0.0
0.22005877938969487,0.0,0.0,0.0
0.22529827413706854,0.0,0.0,0.0
0.23053776888444225,0.0,0.0,0.0
0.23577726363181592,0.0,0.0,0.0
0.24101675837918962,0.0,0.0,0.0
0.2462562531265633,0.0,0.0,0.0
0.25149574787393697,0.0,0.0,0.0
0.25673524262131064,0.0,0.0,0.0
0.2619747373686844,0.0,0.0,0.0
0.26721423211605805,0.0,0.0,0.0
0.2724537268634317,0.0,0.0,0.0
0.2776932216108054,0.0,0.0,0.0
0.2829327163581791,0.0,0.0,0.0
0.2881722111055528,0.0,0.0,0.0
0.2934117058529265,0.0,0.0,0.0
0.29865120060030015,0.0,0.0,0.0
0.3038906953476739,0.0,0.0,0.0
0.30913019009504755,0.0,0.0,0.0
0.3143696848424212,0.0,0.0,0.0
0.3196091795897949,0.0,0.0,0.0
0.32484867433716863,0.0,0.0,0.0
0.3300881690845423,0.0,0.0,0.0
0.335327663831916,0.0,0.0,0.0
0.34056715857928965,0.0,0.0,0.0
0.3458066533266633,0.0,0.0,0.0
0.35104614807403706,0.0,0.0,0.0
0.35628564282141073,0.0,0.0,0.0
0.3615251375687844,0.0,0.0,0.0
0.3667646323161581,0.0,0.0,0.0
0.3720041270635318,0.0,0.0,0.0
0.3772436218109055,0.0,0.0,0.0
0.38248311655827916,0.0,0.0,0.0
0.38772261130565283,0.0,0.0,0.0
0.39296210605302656,0.0,0.0,0.0
0.39820160080040023,0.0,0.0,0.0
0.4034410955477739,0.0,0.0,0.0
0.4086805902951476,0.0,0.0,0.0
0.4139200850425213,0.0,0.0,0.0
0.419159579789895,0.0,0.0,0.0
0.42439907453726866,0.0,0.0,0.0
0.42963856928464234,0.0,0.0,0.0
0.434878064032016,0.0,0.0,0.0
0.44011755877938974,0.0,0.0,0.0
0.4453570535267634,0.0,0.0,0.0
0.4505965482741371,0.0,0.0,0.0
0.45583604302151076,0.0,0.0,0.0
0.4610755377688845,0.0,0.0,0.0
0.46631503251625817,0.0,0.0,0.0
0.47155452726363184,0.0,0.0,0.0
0.4767940220110055,0.0,0.0,0.0
0.48203351675837924,0.0,0.0,0.0
0.4872730115057529,0.0,0.0,0.0
0.4925125062531266,0.0,0.0,0.0
0.49775200100050027,0.0,0.0,0.0
0.5029914957478739,0.0,0.0,0.0
0.5082309904952477,0.0,0.0,0.0
0.5134704852426213,0.0,0.0,0.0
0.518709979989995,0.0,0.0,0.0
0.5239494747373687,0.0,0.0,0.0
0.5291889694847424,0.0,0.0,0.0
0.5344284642321161,0.0,0.0,0.0
0.5396679589794898,0.0,0.0,0.0
0.5449074537268634,0.0,0.0,0.0
0.5501469484742372,0.0,0.0,0.0
0.5553864432216108,0.0,0.0,0.0
0.5606259379689845,0.0,0.0,0.0
0.5658654327163583,0.0,0.0,0.0
0.5711049274637319,0.0,0.0,0.0
0.5763444222111056,0.0,0.0,0.0
0.5815839169584793,0.0,0.0,0.0
0.586823411705853,0.0,0.0,0.0
0.5920629064532267,0.0,0.0,0.0
0.5973024012006003,0.0,0.0,0.0
0.602541895947974,0.0,0.0,0.0
0.6077813906953478,0.0,0.0,0.0
0.6130208854427214,0.0,0.0,0.0
0.6182603801900951,0.0,0.0,0.0
0.6234998749374687,0.0,0.0,0.0
0.6287393696848425,0.0,0.0,0.0
0.6339788644322162,0.0,0.0,0.0
0.6392183591795898,0.0,0.0,0.0
0.6444578539269635,0.0,0.0,0.0
0.6496973486743373,0.0,0.0,0.0
0.6549368434217109,0.0,0.0,0.0
0.6601763381690846,0.0,0.0,0.0
0.6654158329164582,0.0,0.0,0.0
0.670655327663832,0.0,0.0,0.0
0.6758948224112057,0.0,0.0,0.0
0.6811343171585793,0.0,0.0,0.0
0.686373811905953,0.0,0.0,0.0
