Cation,CN
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,3
Li,4
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,3
Li,4
Li,4
Li,5
Li,3
Li,4
Li,5
Li,5
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,3
Li,4
Li,4
Li,3
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,3
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,3
Li,5
Li,4
Li,5
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,6
Li,4
Li,4
Li,3
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,5
Li,4
Li,3
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,3
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,6
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,6
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,6
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,3
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,3
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,3
Li,5
Li,5
Li,3
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,5
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,3
Li,5
Li,4
Li,4
Li,5
Li,5
Li,5
Li,5
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,5
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,3
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,6
Li,4
Li,3
Li,5
Li,4
Li,4
Li,3
Li,5
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,6
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,3
Li,5
Li,5
Li,4
Li,5
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,6
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,3
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,6
Li,4
Li,5
Li,4
Li,6
Li,5
Li,4
Li,4
Li,6
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,6
Li,5
Li,4
Li,4
Li,4
Li,6
Li,5
Li,6
Li,6
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,6
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,3
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,5
Li,3
Li,4
Li,6
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,6
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,5
Li,5
Li,3
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,6
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,3
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,3
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,3
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,3
Li,5
Li,4
Li,4
Li,6
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,6
Li,6
Li,4
Li,5
Li,4
Li,4
Li,4
Li,3
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,6
Li,4
Li,4
Li,4
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,6
Li,4
Li,5
Li,4
Li,4
Li,5
Li,3
Li,4
Li,6
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,6
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,6
Li,5
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,5
Li,3
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,6
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,3
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,6
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,3
Li,4
Li,5
Li,4
Li,5
Li,5
Li,4
Li,4
Li,3
Li,4
Li,5
Li,4
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,3
Li,5
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,3
Li,5
Li,5
Li,5
Li,5
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,3
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,3
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,5
Li,6
Li,5
Li,3
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,3
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,5
Li,5
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,5
Li,4
Li,5
Li,3
Li,4
Li,4
Li,5
Li,5
Li,5
Li,6
Li,4
Li,4
Li,3
Li,5
Li,4
Li,4
Li,5
Li,4
Li,3
Li,4
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,3
Li,4
Li,4
Li,6
Li,6
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,6
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,6
Li,6
Li,4
Li,3
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,6
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,5
Li,5
Li,5
Li,4
Li,5
Li,5
Li,4
Li,4
Li,6
Li,5
Li,5
Li,4
Li,6
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,6
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,6
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,5
Li,4
Li,4
Li,3
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,3
Li,5
Li,5
Li,4
Li,4
Li,4
Li,5
Li,6
Li,4
Li,4
Li,6
Li,4
Li,4
Li,6
Li,5
Li,5
Li,4
Li,5
Li,3
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,6
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,3
Li,4
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,5
Li,6
Li,4
Li,5
Li,5
Li,5
Li,4
Li,5
Li,3
Li,5
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,3
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,5
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,6
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,5
Li,6
Li,4
Li,5
Li,4
Li,5
Li,4
Li,5
Li,3
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,5
Li,3
Li,5
Li,5
Li,5
Li,4
Li,5
Li,4
Li,5
Li,3
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,6
Li,4
Li,4
Li,6
Li,4
Li,5
Li,3
Li,5
Li,5
Li,4
Li,5
Li,3
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,6
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,3
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,6
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,6
Li,4
Li,5
Li,5
Li,3
Li,4
Li,4
Li,3
Li,4
Li,5
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,6
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,5
Li,5
Li,4
Li,4
Li,6
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,6
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,6
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,3
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,3
Li,3
Li,6
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,6
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,5
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,3
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,5
Li,3
Li,4
Li,4
Li,3
Li,4
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,3
Li,4
Li,4
Li,5
Li,4
Li,4
Li,6
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,6
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,5
Li,5
Li,4
Li,5
Li,4
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,3
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,6
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,3
Li,6
Li,4
Li,3
Li,5
Li,4
Li,4
Li,4
Li,6
Li,5
Li,3
Li,4
Li,5
Li,6
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,5
Li,3
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,3
Li,6
Li,6
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,3
Li,5
Li,6
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,3
Li,4
Li,5
Li,5
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,3
Li,5
Li,5
Li,4
Li,5
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,6
Li,5
Li,5
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,6
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,5
Li,5
Li,4
Li,5
Li,3
Li,4
Li,4
Li,4
Li,6
Li,4
Li,5
Li,4
Li,3
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,6
Li,3
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,5
Li,6
Li,4
Li,5
Li,4
Li,4
Li,5
Li,5
Li,4
Li,4
Li,3
Li,5
Li,5
Li,4
Li,3
Li,4
Li,5
Li,4
Li,5
Li,5
Li,3
Li,4
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,4
Li,5
Li,4
Li,5
Li,4
Li,4
Li,4
Li,4
Li,4
Li,4
Li,3
Li,4
Li,5
Li,5
Li,4
Li,4
