Composition,Source,Temperature (K),Average SCL (A),Experimental SCL (A),Deviation,Pair 1 Label,Pair 1 SCL_i (A),Pair 1 Peak X (A),Pair 1 Peak Y,Pair 1 Min X (A),Pair 1 Min Y,Pair 1 CC Peak X (A),Pair 1 CC Peak Y,Pair 1 PMF at Peak (kJ/mol),Pair 1 Bond Strength (kJ/mol/A²),Pair 1 Reduced Mass (g/mol),Pair 1 Fundamental Frequency (rad/ps),Pair 1 b_PH,Pair 2 Label,Pair 2 SCL_i (A),Pair 2 Peak X (A),Pair 2 Peak Y,Pair 2 Min X (A),Pair 2 Min Y,Pair 2 CC Peak X (A),Pair 2 CC Peak Y,Pair 2 PMF at Peak (kJ/mol),Pair 2 Bond Strength (kJ/mol/A²),Pair 2 Reduced Mass (g/mol),Pair 2 Fundamental Frequency (rad/ps),Pair 2 b_PH,Pair 3 Label,Pair 3 SCL_i (A),Pair 3 Peak X (A),Pair 3 Peak Y,Pair 3 Min X (A),Pair 3 Min Y,Pair 3 CC Peak X (A),Pair 3 CC Peak Y,Pair 3 PMF at Peak (kJ/mol),Pair 3 Bond Strength (kJ/mol/A²),Pair 3 Reduced Mass (g/mol),Pair 3 Fundamental Frequency (rad/ps),Pair 3 b_PH,Pair 4 Label,Pair 4 SCL_i (A),Pair 4 Peak X (A),Pair 4 Peak Y,Pair 4 Min X (A),Pair 4 Min Y,Pair 4 CC Peak X (A),Pair 4 CC Peak Y,Pair 4 PMF at Peak (kJ/mol),Pair 4 Bond Strength (kJ/mol/A²),Pair 4 Reduced Mass (g/mol),Pair 4 Fundamental Frequency (rad/ps),Pair 4 b_PH,Pair 5 Label,Pair 5 SCL_i (A),Pair 5 Peak X (A),Pair 5 Peak Y,Pair 5 Min X (A),Pair 5 Min Y,Pair 5 CC Peak X (A),Pair 5 CC Peak Y,Pair 5 PMF at Peak (kJ/mol),Pair 5 Bond Strength (kJ/mol/A²),Pair 5 Reduced Mass (g/mol),Pair 5 Fundamental Frequency (rad/ps),Pair 5 b_PH,Pair 6 Label,Pair 6 SCL_i (A),Pair 6 Peak X (A),Pair 6 Peak Y,Pair 6 Min X (A),Pair 6 Min Y,Pair 6 CC Peak X (A),Pair 6 CC Peak Y,Pair 6 PMF at Peak (kJ/mol),Pair 6 Bond Strength (kJ/mol/A²),Pair 6 Reduced Mass (g/mol),Pair 6 Fundamental Frequency (rad/ps),Pair 6 b_PH,Pair 6 CC Peak X (A),Pair 6 CC Peak Y,Pair 6 PMF at Peak (kJ/mol),Pair 6 Bond Strength (kJ/mol/A²),Pair 6 Reduced Mass (g/mol),Pair 6 Fundamental Frequency (rad/ps),Pair 6 b_PH
1.0LiF,"Walz, 2019",1121,3.43493,3.28553,4.55,Li-F,3.43493,1.87565,1.24124,2.79035,0.15585,2.80577,0.55566,-12.25391,261.5903,5.08315,71.73716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaF,"Walz, 2019",1266,3.9007,5.22361,-25.33,Na-F,3.9007,2.16571,1.31205,3.40781,0.15615,3.27405,0.52188,-14.42292,255.19356,10.40219,49.53047,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KF,"Walz, 2019",1131,4.36137,4.63533,-5.91,K-F,4.36137,2.48153,1.31757,3.91232,0.15978,3.77818,0.55944,-12.92438,174.9183,12.78567,36.98758,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0LiCl,"Walz, 2019",878,4.26876,4.10511,3.99,Li-Cl,4.26876,2.37101,1.32677,3.67506,0.14962,3.64717,0.50848,-10.08404,154.4734,5.8038,51.59061,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaCl,"Lu, 2021",1200,4.52002,4.48028,0.89,Na-Cl,4.52002,2.6622,1.26349,4.19256,0.15891,4.11285,0.53377,-13.29471,176.03131,13.94577,35.52825,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KCl,"Walker, 2026",1043,4.92433,4.47675,10,K-Cl,4.92433,3.07034,1.1793,4.75222,0.15566,4.5374,0.55092,-10.95731,87.17305,18.59244,21.65324,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0MgCl2,"Walker, 2026",987,4.55681,4.76796,-4.43,Mg-Cl,4.55681,2.38397,1.96978,3.33232,0.07777,4.07109,0.24159,-15.84391,372.51974,14.41908,50.82833,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6LiF-0.4NaF,"Grizzi, 2024",1473,3.22617,2.63857,22.27,Li-F,3.42519,1.81931,0.88914,2.93737,0.09569,0,0,-17.25091,366.70622,5.08315,84.93613,0.12052,Na-F,2.92763,2.19106,0.39081,3.37671,0.08474,0,0,-12.14897,223.92575,10.40219,46.39697,0.18077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66LiF-0.34BeF2,"Fayfar, 2024",973,2.83667,1.90187,49.15,Be-F,2.68722,1.54691,1.30236,2.32285,0.0012,2.95953,0.03108,-19.53051,994.62917,6.11258,127.56107,0.16404,Li-F,2.91365,1.84038,0.75482,2.69093,0.12812,4.29753,0.12649,-9.75176,272.97557,5.08315,73.28165,0.0845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32MgCl2-0.68KCl,"Walker, 2026",723,4.60812,3.91988,17.56,K-Cl,4.71352,3.12274,0.75542,4.69459,0.12318,4.75222,0.20824,-7.05899,62.80924,18.59244,18.37992,0.01869,Mg-Cl,4.38414,2.33681,1.17805,3.33232,0.01767,7.37721,0.03797,-14.26127,427.48546,14.41908,54.44925,0.03972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5NaCl-0.5KCl,"Walker, 2026",1100,4.35732,4.32778,0.68,K-Cl,4.3758,3.07034,0.56922,4.64743,0.09636,4.5898,0.14384,-10.43791,86.26022,18.59244,21.53957,0.03642,Na-Cl,4.33885,2.65118,0.75273,4.22827,0.08511,3.9663,0.15392,-12.99359,143.44397,13.94577,32.07155,0.03642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6NaCl-0.4KCl,"Walker, 2026",1100,4.28319,4.32778,-1.03,K-Cl,4.21244,3.07034,0.44261,4.69983,0.07811,4.85177,0.07969,-10.21109,85.44396,18.59244,21.43742,0.04371,Na-Cl,4.33036,2.65118,0.86883,4.28067,0.10422,4.01869,0.21336,-12.6712,142.22346,13.94577,31.93482,0.02914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3NaCl-0.7KCl,"Walker, 2026",1100,4.4615,4.32778,3.09,K-Cl,4.5177,3.07034,0.82015,4.75222,0.12771,4.49025,0.27928,-10.83287,87.72271,18.59244,21.7214,0.02185,Na-Cl,4.33036,2.65118,0.46945,4.22827,0.04791,4.01345,0.05737,-13.4795,148.76356,13.94577,32.66082,0.05099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4903NaCl-0.5097CaCl2,"Wei, 2022",1023,4.41841,3.76913,17.23,Ca-Cl,4.87251,2.67223,0.4782,3.92275,0.01598,4.70432,0.13917,-8.82043,207.05669,18.8111,33.17703,0.03809,Na-Cl,3.94634,2.68712,0.47761,4.13861,0.09189,4.27259,0.0862,-9.14005,116.69374,13.94577,28.92695,0.0396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.465LiF-0.115NaF-0.42KF,"Frandsen, 2020",873,2.77372,2.26059,22.7,K-F,2.62983,2.62983,0.44742,3.89017,0.09304,3.85543,0.11659,-7.67648,101.26265,12.78567,28.14252,0.24527,Li-F,2.80067,1.85577,1.04755,2.80598,0.04435,2.99454,0.13665,-13.11257,264.3198,5.08315,72.11045,0.24214,Na-F,3.19023,2.26017,0.17125,3.35676,0.02087,3.47584,0.01016,-10.10761,171.03372,10.40219,40.54885,0.19687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.345NaF-0.065MgF2-0.59KF,"Solano, 2021",1073,3.7784,3.92263,-3.68,K-F,3.83567,2.56096,0.66201,3.77029,0.11679,0,0,-10.07095,127.30474,12.78567,31.55444,0.05501,Mg-F,3.56636,1.95036,0.27009,3.03817,0.00331,3.4561,0.00572,-21.75103,530.56908,10.66328,70.5384,0.08157,Na-F,3.72042,2.24676,0.56475,3.50353,0.05125,0,0,-13.4404,205.50585,10.40219,44.44774,0.08081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21NaCl-0.38MgCl2-0.41KCl,"Walker, 2026",660,4.49144,3.65358,22.93,K-Cl,4.6172,3.17513,0.44591,4.69983,0.07659,4.80462,0.073,-6.24918,55.40453,18.59244,17.26253,0.0375,Mg-Cl,4.45073,2.38397,1.19066,3.28516,0.02662,3.80387,0.04067,-12.05579,327.08894,14.41908,47.62819,0.0357,Na-Cl,4.31958,2.75597,0.28161,4.22303,0.03704,4.17588,0.01971,-7.39857,88.88804,13.94577,25.24646,0.05113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.535NaCl-0.315MgCl2-0.15CaCl2,"Wei, 2022",1023,4.09021,3.52027,16.19,Ca-Cl,4.56739,2.62021,0.30433,3.8782,0.01377,4.898,0.01464,-15.20618,240.62489,18.8111,35.7654,0.0614,Mg-Cl,4.46232,1.98004,1.16212,2.81375,0.00174,3.95264,0.04529,-20.29217,402.19624,14.41908,52.81414,0.03938,Na-Cl,3.73733,2.65743,0.50694,3.97497,0.11914,4.28017,0.10951,-8.73038,115.55399,13.94577,28.78533,0.02928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64NaCl-0.36UCl3,"Andersson, 2022",1250,3.02621,2.5393,19.18,Na-Cl,3.09194,2.65778,0.58913,4.24622,0.12733,4.56114,0.1,-11.1216,126.56997,13.94577,30.12619,0.28764,U-Cl,2.90937,2.77544,0.69311,4.08357,0.03029,4.69956,0.0344,-18.79079,294.39365,30.85476,30.88895,0.51136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
