r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,g(r)_weighted_Li-Mg,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,S_i_Li-Cl,S_i_Mg-Cl,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0052394947473736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0104789894947473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.015718484242121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0209579789894947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0261974737368684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0314369684842421,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0366764632316158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0419159579789894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0471554527263631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0523949474737368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0576344422211105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0628739369684842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0681134317158579,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0733529264632316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0785924212106052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0838319159579789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0890714107053526,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0943109054527263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.0995504002001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1047898949474737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1100293896948474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1152688844422211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1205083791895947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1257478739369684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1309873686843421,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1362268634317158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1414663581790895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1467058529264632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1519453476738369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1571848424212105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1624243371685843,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1676638319159579,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1729033266633316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1781428214107053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.183382316158079,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1886218109054527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1938613056528264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.1991008004002001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2043402951475737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2095797898949474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2148192846423211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2200587793896948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2252982741370685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2305377688844422,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2357772636318159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2410167583791895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2462562531265632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2514957478739369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2567352426213106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2619747373686843,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.267214232116058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2724537268634316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2776932216108054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.282932716358179,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2881722111055527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2934117058529264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
0.2986512006003001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5686939760216667,0
