r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0052394947473736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0104789894947473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.015718484242121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0209579789894947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0261974737368684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0314369684842421,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0366764632316158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0419159579789895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0471554527263631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0523949474737368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0576344422211105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0628739369684842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0681134317158579,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0733529264632316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0785924212106053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.083831915957979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0890714107053526,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0943109054527263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.0995504002001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.1047898949474737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.1100293896948474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.1152688844422211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
0.1205083791895948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9470978254756597,4.32778
